	strain	rep	beta	alpha	std_dev	AIC	N.obs	mean_days_death	sd_days_death	CI025_mean_days_death	CI975_mean_days_death	half_life
30	KBS0705	4	0.777819705693486	0.31085472636745004	1.69573897136951	192.913763250491	48	6.169041258344459	30.945449246407062	1.4924787212244943	25.499237949558502	0.23923488815648858
31	KBS0706	1	64.4024227138038	0.5919577207699059	0.9723534217269542	133.96677681539802	46	98.6402759743978	176.3679328912714	58.837231887635724	165.3698471554037	34.67425117861034
32	KBS0706	2	111.566319964714	0.75558899307325	1.04691124318224	140.76049690262198	46	132.03155234618623	177.155597277703	89.594030742563	194.57022605706067	68.6863197266734
33	KBS0706	3	78.83819850031321	0.5905822536892691	0.81550377956972	117.776489755705	46	121.12772001970467	217.20930676231524	72.14139876924288	203.37732297238557	42.38530575799524
34	KBS0706	4	113.557092333617	0.6828217577591371	0.781061830990009	113.810595069442	46	147.28137394403782	221.65477600811914	95.33793852373982	227.5254053814273	66.38980526323618
35	KBS0707	1	2.20449411126757	0.276444252010417	0.9083010214877071	132.985227615991	48	30.2331006116781	196.3191886717598	4.8158399717965015	189.7987428878118	0.5854858448820766
36	KBS0707	2	0.863713298623388	0.241044734651196	1.35928259739844	171.68995644217898	48	25.991705388426276	237.58353770475912	1.957848040941458	345.05678422003115	0.1888064890631199
37	KBS0707	3	0.9139212655194291	0.264327465494098	1.33184199263796	169.727506261229	48	15.907372496948092	114.92752002024552	2.060350518602586	122.8162380487985	0.22841355624071363
38	KBS0707	4	2.60934580470003	0.27946842803599603	1.1519254771163001	155.78900474183	48	33.8599213379094	214.39890256459245	5.6458266578929495	203.06933642863365	0.7030235041307217
39	KBS0710	1	1.39539707213863	0.34851721484798104	1.13608788936692	157.56450939576402	49	7.122201614774489	28.51498435733521	2.32144014095893	21.850985923135966	0.48750436184518603
40	KBS0710	2	0.565255295937808	0.30427111480670194	1.1184040053061999	156.019920953613	49	4.916333526076057	25.795333969624075	1.1313833430559948	21.363524121128222	0.16947698403459646
41	KBS0710	3	3.3186288260740797	0.428474247364105	1.11038064903934	158.364621874005	50	9.224784965536752	25.929103357369783	4.232435232009431	20.105838127614206	1.41080563507584
42	KBS0710	4	2.79107311619321	0.43627909004555204	1.1796480578007802	164.412224768936	50	7.428855322610763	20.30154177159524	3.4829496751434665	15.845159003627876	1.2048293511235648
43	KBS0711	1	0.0333446528581724	0.23975311851191897	1.0963664759949598	226.595772850905	73	1.0385982963179365	9.631223744246807	0.12375804754712427	8.716091135033304	0.007229628951147006
44	KBS0711	2	0.25237222657119895	0.273616425539473	0.871392248667837	193.067626389763	73	3.650108691784959	24.27930278183623	0.7936287636065543	16.787815755691533	0.06611472541127543
45	KBS0711	3	0.0269210605257621	0.221667646394692	0.898840533283133	197.600146386777	73	1.4349332203383096	16.571703180237474	0.10145140845674695	20.295759104303865	0.005152460978123498
46	KBS0711	4	1.46694691251382	0.44185857401922907	0.551157852271984	29.0507158776858	14	3.7901579548642452	10.156912229908407	0.9311230153079935	15.427926371328091	0.6399937623065832
47	KBS0711	11	303.210263811726	0.807701367858398	0.6431570423906829	125.260793329023	61	341.21538664819417	425.684664859246	249.49461981625518	466.6551133295864	192.60735628721125
48	KBS0711	10	546.261576896146	2.03822514162841	0.7995374413465419	135.083998456948	54	483.9660432600968	248.70792579236274	421.9755712267216	555.0632477323887	456.3583220860062
49	KBS0711	5	0.15772177493803197	0.2585075244385	0.997804596827395	164.670394416954	56	3.110555458640336	23.739241159330085	0.4214314691871522	22.95878682230159	0.03820738716969028
50	KBS0711	6	0.6431837634671079	0.328696398493759	1.4038801121574098	202.917590253268	56	4.070835083770889	18.238302795698615	1.2591067385677823	13.161472154545079	0.21089923703077115
51	KBS0711	7	0.4404187307357921	0.282198609844244	1.1879797762617301	184.211379203736	56	5.443937216924354	33.71087263707427	1.0753236728174551	27.560494733798258	0.12017505158015052
52	KBS0711	8	0.394288448598924	0.26399508736544897	1.21874530206582	187.07279942225102	56	6.9106472022988905	50.081282186666634	1.0355831199290964	46.11609037998929	0.09837142764156254
53	KBS0712	1	1.26093445944646	0.316012870709948	1.13735925850481	151.478416394877	47	9.33650876432833	45.27132396738685	2.334198925373416	37.34488734392446	0.39536310031866473
54	KBS0712	2	0.122857478046521	0.218395991563584	0.8918738078733249	131.224887519365	48	7.306148925872344	88.14073454035201	0.2407048084744927	221.76462724334084	0.022938608555313576
55	KBS0712	3	0.337441538317373	0.251460764381184	0.916658229298621	131.200278146358	47	7.820541821430805	63.997873843730076	0.7536591318169611	81.15190515014179	0.07855955937948236
56	KBS0712	4	0.009108285605000571	0.157219972698626	1.01587958289539	143.734150364831	48	13.009068736440234	500.4741974152782	0.00024410495195966537	693291.4225246445	0.0008851249688351974
57	KBS0713	3	0.014815723271025	0.17956337202519101	1.1673150700891102	163.35989346460698	50	4.829376515890223	110.74738760512678	0.008381604446922267	2782.626844290673	0.0019242858396843069
58	KBS0713	4	0.0146679071226549	0.194864350942151	1.01983824978665	149.853076511322	50	2.2073306695873325	38.09098875137067	0.01847203508053505	263.7667513979046	0.002236249391581641
59	KBS0713	1	0.0171763130544269	0.193365183651568	0.9408475638893549	139.07982306573402	49	2.7693529389944347	49.03980676146453	0.019455277460312635	394.2023297463611	0.002580768085356269
60	KBS0713	2	0.109149131004815	0.24000081541415197	0.8495232782824069	129.068473216132	49	3.377204877021808	31.231078614325856	0.25352754364667024	44.98727285140754	0.02370256193727897
61	KBS0714	1	15.703145623613699	0.8959270807622071	1.55169702438518	95.1956695750156	24	16.56383869060593	18.52277631667481	10.589070453108144	25.90980515082725	10.430906299667258
62	KBS0714	2	17.3497350985668	0.9208579868832791	1.49478807207806	93.4039714748551	24	18.033896085381492	19.604187780327276	11.673633366771922	27.85948451525427	11.65301346431801
63	KBS0714	3	13.5581063827781	0.842355527950507	1.50524012696145	93.7378683893821	24	14.834919539239875	17.69564417840145	9.205025172784365	23.90811905505655	8.77476370540166
64	KBS0714	4	15.892136938892	0.9058068865251792	1.5650001571534398	95.60688686682691	24	16.663197934208746	18.42385850849921	10.70644388251815	25.934116728337305	10.603652969339525
65	KBS0715	1	0.000168733457962035	0.144662174884253	1.03617534135487	209.625538510555	70	0.7135011715685722	39.45652810909464	1.6872904636469019e-06	301716.8251691493	1.339313391840858e-05
66	KBS0715	2	0.000122111955379719	0.14432486038331196	1.0222541912915901	207.73572587912702	70	0.5333595354203304	29.810200959022733	1.0980846547266727e-06	259062.35261488106	9.635350924727443e-06
67	KBS0715	3	5.7436085367500595e-05	0.137914114340581	1.08495626780349	216.067128971644	70	0.481991484709301	33.312201866780924	4.481467744663872e-08	5183921.977546245	4.027428539519262e-06
68	KBS0715	4	0.00032186078276253197	0.153906876709854	1.01887613653882	207.269921406325	70	0.5992842411016013	25.222425738880318	3.130730848166979e-05	11471.494007317706	2.974690370804915e-05
69	KBS0721	1	0.812031532614833	0.318572308860505	0.9825167894574679	193.774841183716	67	5.817418662310176	27.747699863530833	1.8565634335428447	18.228496415020942	0.25699416063482006
