	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY
10346.IO5.Wnh	60097.0	2455	9.0	3	1.0	1
10346.BCD22SED	33824.0	3650	0.0	0	1.0	1
10346.IO5.Wctr	53228.0	1674	4.0	2	0.0	0
10346.IO2.WII	52599.0	1928	77.0	4	0.0	0
10346.TW10.9.II	49921.0	1369	5.0	3	0.0	0
10346.TW10.10.III	49385.0	1517	10.0	2	1.0	1
10346.ZA.46	28615.0	238	1.0	1	0.0	0
10346.TW10.8.II	39759.0	1722	63.0	4	1.0	1
10346.5.11.4D	29735.0	2082	0.0	0	1.0	1
10346.27.V.93.2.7	47432.0	672	0.0	0	30.0	4
10346.TW10.4.II	46468.0	1893	14.0	3	0.0	0
10346.TW11.3.III	32758.0	2015	14.0	3	0.0	0
10346.SI06.11	50866.0	534	70.0	3	0.0	0
10346.BCD12SED	56132.0	3846	1.0	1	1.0	1
10346.BCH31SED	56439.0	3843	0.0	0	6.0	3
10346.TW10.12.II	24610.0	1784	17.0	3	0.0	0
10346.AF10.5.15	60872.0	359	5.0	1	0.0	0
10346.TO11.2.22	44761.0	429	20.0	2	0.0	0
10346.Webster.5.A4.380	25070.0	1015	2.0	1	0.0	0
10346.Webster.5.B5.393	25485.0	1204	22.0	4	0.0	0
10346.Webster.5.D7.419	23955.0	670	31.0	2	0.0	0
10346.Webster.5.A3.379	20336.0	732	51.0	3	0.0	0
10346.Webster.5.A6.382	40146.0	2138	1.0	1	0.0	0
10346.Webster.5.D4.416	14680.0	418	3.0	1	0.0	0
10346.Webster.3.H6.278	38518.0	456	1.0	1	0.0	0
10346.Webster.4.A7.289	83340.0	618	63.0	3	0.0	0
10346.Webster.1.D11.47	48125.0	430	1.0	1	0.0	0
10346.Webster.5.A9.385	51358.0	804	3.0	1	3.0	1
10346.Webster.2.B1.107	38048.0	239	0.0	0	1.0	1
10346.Webster.4.A6.288	40876.0	458	406.0	8	0.0	0
10346.Webster.3.H9.281	134215.0	637	1.0	1	0.0	0
10346.Webster.2.D1.130	67153.0	658	2.0	1	0.0	0
10346.Webster.4.G8.362	60375.0	1193	1.0	1	1.0	1
10346.Webster.4.B8.302	93769.0	2715	0.0	0	1.0	1
10346.Webster.4.H3.369	56296.0	549	1.0	1	0.0	0
10346.Webster.4.H4.370	27771.0	305	1.0	1	0.0	0
10346.Webster.3.C1.213	86708.0	792	1.0	1	0.0	0
10346.Webster.4.F9.351	59007.0	876	1.0	1	0.0	0
10346.Webster.3.B4.204	65840.0	584	1.0	1	0.0	0
10346.Webster.3.D8.232	96511.0	1134	2.0	2	0.0	0
10346.Webster.5.A11.387	38661.0	1873	21.0	4	0.0	0
10346.Webster.2.E6.147	137755.0	1129	3.0	1	0.0	0
10346.Webster.5.C9.409	75100.0	946	1.0	1	1.0	1
10346.Webster.4.G9.363	52906.0	1085	0.0	0	2.0	1
10346.Webster.3.D9.233	64525.0	870	9.0	4	0.0	0
10346.Webster.3.F2.250	59399.0	753	0.0	0	1.0	1
10346.Webster.4.E12.342	92672.0	813	1.0	1	0.0	0
10346.Webster.4.A3.285	38166.0	440	28.0	3	0.0	0
10346.Webster.3.C9.221	114647.0	1532	4.0	1	0.0	0
10346.Webster.5.E5.429	158643.0	1971	5.0	2	0.0	0
10346.Webster.1.E8.56	82693.0	1673	0.0	0	1.0	1
10346.Webster.5.C3.403	162831.0	1315	1.0	1	0.0	0
10346.Webster.3.A9.197	122600.0	1662	2.0	1	0.0	0
10346.Webster.5.B6.394	31192.0	1516	16.0	4	1.0	1
10346.Webster.5.B4.392	24242.0	819	5.0	2	1.0	1
10346.Webster.1.C4.28	58408.0	424	1.0	1	0.0	0
10346.Webster.5.A12.388	22628.0	1057	8.0	2	2.0	1
10346.Webster.1.C9.33	59419.0	252	1.0	1	0.0	0
10346.Webster.3.C5.217	62785.0	743	1.0	1	0.0	0
10346.Webster.4.A5.287	70233.0	356	7.0	1	0.0	0
10346.Webster.5.B7.395	16337.0	1438	3.0	3	0.0	0
10346.Webster.1.F10.70	39495.0	414	1.0	1	0.0	0
10346.Webster.5.C4.404	51720.0	763	0.0	0	1.0	1
10346.Webster.3.G12.272	30969.0	479	1.0	1	0.0	0
10346.Webster.4.E6.336	54547.0	608	2.0	1	0.0	0
10346.Webster.5.B1.389	7194.0	568	21.0	5	1.0	1
10346.Webster.4.B12.306	54444.0	430	1.0	1	0.0	0
10346.Webster.3.B9.209	101110.0	486	1.0	1	0.0	0
10346.Webster.5.B8.396	43155.0	884	2.0	2	0.0	0
10346.Webster.3.G5.265	72885.0	518	4.0	3	0.0	0
10346.Webster.5.A10.386	29671.0	1432	4.0	1	0.0	0
10346.Webster.5.B3.391	42840.0	753	25.0	6	0.0	0
10346.Webster.5.B2.390	47907.0	1080	58.0	8	0.0	0
10346.Webster.2.G11.176	57057.0	364	2.0	1	0.0	0
10346.Webster.2.F6.159	116248.0	459	1.0	1	0.0	0
10346.Webster.1.F9.69	107241.0	763	1.0	1	0.0	0
10346.Webster.3.F4.252	56070.0	831	1.0	1	0.0	0
10346.TW11.1.I	31926.0	1774	7.0	2	1.0	1
10346.BCH11SED	51621.0	3462	0.0	0	5.0	2
10346.BCD21SED	28059.0	3486	3.0	1	0.0	0
10346.BCD13SED	33996.0	3542	0.0	0	1.0	1
10346.BCD33SED	64073.0	4622	2.0	1	5.0	3
10346.SD31SED	50915.0	3499	0.0	0	2.0	1
10346.BCH12SED	15022.0	2331	0.0	0	2.0	2
10346.SH12SED	62759.0	4012	0.0	0	6.0	1
10346.BCH32SED	31734.0	3315	0.0	0	1.0	1
10346.Webster.2.H5.182	119603.0	940	0.0	0	2.0	1
10346.TW10.4.III	52315.0	1968	22.0	6	0.0	0
10346.IF2.WII	55596.0	1849	41.0	1	0.0	0
10346.AW10.5.III	32124.0	1041	14.0	7	1.0	1
10346.TW11.5.III	43061.0	1543	18.0	4	0.0	0
10346.Webster.2.C8.125	63167.0	651	2.0	1	0.0	0
10346.SI06.96	30687.0	1508	2.0	1	0.0	0
10346.SI06.66	30039.0	856	64.0	5	0.0	0
10346.IO2.18	55382.0	783	4.0	1	0.0	0
10346.IO2.36	53569.0	1469	2.0	2	0.0	0
10346.CL43	15998.0	364	28.0	2	0.0	0
10346.BR10B.Jan	36166.0	925	1.0	1	0.0	0
10346.PO10.3.18.1181336	68713.0	498	2.0	1	0.0	0
10346.IO2.35	47553.0	793	1.0	1	0.0	0
10346.IO2.1	223.0	37	26.0	2	0.0	0
10346.AW11.1.II	42082.0	1405	8.0	1	0.0	0
10346.TW10.6.II	45276.0	1246	2.0	2	0.0	0
10346.AF11.5.9	60488.0	693	1.0	1	0.0	0
