	N	N_genus
2192.H01a.Nose.282.lane6.NoIndex.L006	58687.0	11.0
2192.H05b.Hand.2839.lane5.NoIndex.L005	70303.0	2.0
2192.H05b.Kitchen.Floor.2954.lane1.NoIndex.L001	63416.0	44.0
2192.H03a.Foot.1208.lane5.NoIndex.L005	67474.0	8.0
2192.H02a.Kitchen.Floor.866.lane2.NoIndex.L002	61378.0	66.0
2192.H07b.Nose.3852.lane1.NoIndex.L001	71494.0	24.0
2192.H06b.Nose.3207.lane6.NoIndex.L006	72154.0	15.0
2192.H03a.Kitchen.Light.Switch.1515.lane5.NoIndex.L005	93481.0	6.0
2192.H01a.Hand.106.lane2.NoIndex.L002	83160.0	26.0
2192.H07b.Kitchen.Light.Switch.4179.lane6.NoIndex.L006	56120.0	172.0
2192.H07b.Cat.Fur.3854.lane6.NoIndex.L006	61859.0	43.0
2192.H04a.Dog.Foot.2015.lane5.NoIndex.L005	65513.0	19.0
2192.H06a.Nose.3015.lane6.NoIndex.L006	81118.0	23.0
2192.H01a.Nose.183.lane6.NoIndex.L006	43608.0	82.0
2192.H04a.Hand.1861.lane6.NoIndex.L006	81906.0	18.0
2192.H07b.Foot.4067.lane6.NoIndex.L006	87542.0	3.0
2192.H05b.Bathroom.Door.Knob.2886.lane1.NoIndex.L001	65234.0	7.0
2192.H06b.Foot.3296.lane6.NoIndex.L006	58345.0	7.0
2192.H04a.Hand.2074.lane6.NoIndex.L006	73028.0	4.0
2192.H07b.Bathroom.Door.Knob.4158.lane6.NoIndex.L006	68428.0	4.0
2192.H02a.Nose.873.lane6.NoIndex.L006	79625.0	312.0
2192.H04a.Bathroom.Door.Knob.2094.lane2.NoIndex.L002	106013.0	3.0
2192.H05b.Nose.2457.lane5.NoIndex.L005	70991.0	19.0
2192.H07b.Foot.4019.lane6.NoIndex.L006	87874.0	1.0
2192.H01a.Nose.114.lane6.NoIndex.L006	52920.0	100.0
2192.H01a.Kitchen.Floor.74.lane1.NoIndex.L001	103930.0	60.0
2192.H03a.Bedroom.Floor.1276.lane5.NoIndex.L005	37620.0	3.0
2192.H01a.Front.Door.Knob.269.lane2.NoIndex.L002	65249.0	8.0
2192.H06b.Kitchen.Counter.3145.lane5.NoIndex.L005	56221.0	10.0
2192.H01a.Kitchen.Counter.73.lane1.NoIndex.L001	104972.0	84.0
2192.H03a.Kitchen.Light.Switch.1467.lane5.NoIndex.L005	59564.0	2.0
2192.H07a.Kitchen.Floor.3746.lane2.NoIndex.L002	102247.0	47.0
2192.H01a.Bathroom.Door.Knob.78.lane1.NoIndex.L001	121090.0	11.0
