	N	N_genus
10308.P2.2.S	86672.0	4.0
10308.Fh.J2.IFF.A.7	80155.0	76.0
10308.BLANK.WH4.3A	50632.0	22.0
10308.Fh.P2.IFF.B.2	108376.0	8.0
10308.Fh.P6.IHM.A.2	43897.0	39.0
10308.Fh.J3.IHF.A.7	138764.0	5.0
10308.Fd.P1.IFF.A.1	132756.0	7.0
10308.Fd.P1.IHF.A.2	139101.0	1.0
10308.Fh.P1.IFF.B.1	113426.0	1.0
10308.Fh.P3.IHF.B.2	45728.0	2.0
10308.Fh.J2.IHF.B.7	101557.0	3.0
10308.Fd.P1.IFF.A.7	109660.0	4.0
10308.Fh.P2.IHF.B.1	66836.0	8.0
10308.Fh.P1.IHF.A.10	73547.0	3.0
10308.Fh.J3.IFF.A.6	78793.0	2.0
10308.J2.2.BEACH.S	119737.0	4.0
10308.P2.1.S	82509.0	8.0
10308.Fh.P2.G.A.1	32776.0	6.0
10308.Fd.P1.IFF.B.4B	148496.0	5.0
10308.P2.3.S	87338.0	4.0
10308.Fh.J1.IFF.B.10	114676.0	21.0
10308.Fh.J3.G.A.8	73320.0	1.0
10308.Fh.J1.IHF.B.10	143225.0	2.0
10308.Fh.J6.IFM.B.8	84502.0	18.0
10308.Fh.P4.G.A.8	79088.0	2.0
10308.J3.3.S	139438.0	2.0
10308.Fh.P3.IHF.A.1	53080.0	1.0
10308.Fd.P1.IFF.A.2	149263.0	3.0
10308.P4C.F	127011.0	2.0
10308.Fd.P1.IHF.A.4	125551.0	1.0
10308.Fh.J1.IHF.A.10	116969.0	8.0
10308.Fh.J5.IHM.A.2	44219.0	2.0
10308.J1.2.S	93348.0	1.0
10308.Fh.J3.IFF.A.3	118653.0	5.0
10308.Fh.P1.IFF.B.8	154741.0	139.0
10308.Fd.P1.IFF.B.7	157750.0	1.0
10308.J2.1.MARSH.F	82570.0	4.0
10308.Fh.J6.IFM.B.9	35731.0	9.0
10308.P6.MARSH2.F	177580.0	4.0
10308.Fh.J1.IFF.A.6	130083.0	1.0
10308.Fh.P4.IFF.A.5	107683.0	6.0
10308.Fd.J1.IHF.B.1	112990.0	7.0
10308.Fh.P5.IHF.B.10	56915.0	3.0
10308.Fh.J2.IFF.B.7	86014.0	140.0
10308.Fd.P1.IHM.A.9	37569.0	1.0
10308.Fm.J7.IHF.A.10	117285.0	2.0
10308.Fh.J2.IFF.B.5	127523.0	9.0
10308.J2.1.S	146787.0	9.0
10308.Fh.P3.IHF.B.1	43425.0	2.0
10308.Fh.J5.IHM.B.2	24360.0	8.0
1696.VH0039B	34958.0	9.0
1696.VH0040B	42698.0	2.0
1696.VH0039A	30429.0	11.0
1696.VH0031A	28425.0	1.0
1696.X.B.24	31403.0	1.0
1696.VH0040A	25424.0	1.0
1774.50Nasal23.10.09	29948.0	1.0
1774.27BI22.10.09	24661.0	44.0
1774.1BI22.10.09	30065.0	8.0
1774.67BI24.10.09	30238.0	7.0
1774.22BI22.10.09	36757.0	14.0
1774.471.Skin.Puer	24406.0	1.0
1774.352.Inte.Puer	56146.0	2.0
1774.314.Vagi.Puer	36248.0	2.0
1774.50BI23.10.09	34514.0	23.0
1774.140.Skin.Puer	6106.0	5.0
1774.6BI22.10.09	52532.0	1.0
1774.28BI22.10.09	33772.0	7.0
1774.457.Vagi.Puer	24444.0	1.0
1774.432.Skin.Puer	38876.0	2.0
1774.334.Skin.Puer	87579.0	2.0
1774.57BI23.10.09	32300.0	7.0
1774.376.Skin.Puer	72635.0	7.0
1774.469.Oral.Puer	36754.0	1.0
1774.12BI23.10.09	56652.0	9.0
1774.L505.Skin.Puer	57141.0	9.0
1774.5BI22.10.09	62607.0	8.0
1774.41BI23.10.09	30538.0	10.0
1774.4.Skin.Puer	43005.0	2.0
1774.18BI22.10.09	23307.0	6.0
1774.318.Skin.Puer	50571.0	39.0
1774.17BI22.10.09	30009.0	5.0
1774.6.Vagi.Puer	33873.0	1.0
1774.L576.Skin.Puer	58696.0	17.0
1774.400.Skin.Puer	47813.0	15.0
1774.53BI23.10.09	44813.0	5.0
1774.8.Skin.Puer	729.0	1.0
1774.27Nasal22.10.09	30867.0	1.0
1774.406.Skin.Puer	101719.0	32.0
1774.23BI22.10.09	37187.0	3.0
1774.224.Skin.Puer	71952.0	2.0
1774.21.Skin.Puer	15740.0	6.0
1774.4BI22.10.09	39982.0	1.0
1774.130.Skin.Puer	29032.0	13.0
1774.461.Skin.Puer	53031.0	1.0
1774.476.Skin.Puer	44412.0	3.0
1774.278.Skin.Puer	23624.0	27.0
1774.65BI24.10.09	29679.0	4.0
1774.53Fecal23.10.09	29952.0	1.0
1774.466.Skin.Puer	39314.0	619.0
1774.43BI23.10.09	20878.0	4.0
1774.257.Skin.Puer	20415.0	1.0
1774.32Fecal23.10.09	31267.0	1.0
1774.515.Skin.Puer	39148.0	8.0
1774.31Nasal23.10.09	48365.0	1.0
1774.266.Skin.Puer	30887.0	27.0
1774.416.Skin.Puer	20167.0	105.0
1774.417.Skin.Puer	35217.0	586.0
1774.60BI24.10.09	31390.0	3.0
1774.477.Skin.Puer	42390.0	13.0
1774.L556.Skin.Puer	50528.0	10.0
1774.207.Skin.Puer	55068.0	2.0
1774.47Fecal23.10.09	24783.0	1.0
1774.442.Skin.Puer	50074.0	1.0
1774.3Nasal22.10.09	56505.0	10.0
1774.97.Skin.Puer	48831.0	8.0
1774.398.Skin.Puer	56178.0	325.0
1774.64BI24.10.09	25106.0	1.0
1774.285.Skin.Puer	69333.0	3.0
1774.2BI22.10.09	26288.0	16.0
1774.173.Skin.Puer	54778.0	28.0
1774.63BI24.10.09	44730.0	2.0
1774.497.Skin.Puer	32080.0	1.0
1774.7Nasal22.10.09	44677.0	2.0
1774.46Nasal23.10.09	22379.0	1.0
1774.404.Skin.Puer	34493.0	17.0
1774.47BI23.10.09	38484.0	30.0
1774.69BI24.10.09	32341.0	14.0
1774.34BI23.10.09	30535.0	30.0
1774.119.Skin.Puer	11772.0	1.0
1774.378.Skin.Puer	80628.0	35.0
1774.174.Skin.Puer	46706.0	43.0
1774.229.Skin.Puer	86955.0	28.0
1774.316.Skin.Puer	9250.0	3.0
1774.527.Skin.Puer	36381.0	9.0
1774.29Nasal22.10.09	50778.0	1.0
1774.267.Skin.Puer	26810.0	17.0
1774.317.Skin.Puer	26465.0	10.0
1774.L592.Skin.Puer	49979.0	29.0
1774.31Fecal23.10.09	32165.0	2.0
1774.112.Skin.Puer	3815.0	2.0
1774.L538.Skin.Puer	52253.0	10.0
1774.35BI23.10.09	22059.0	5.0
1774.3BI22.10.09	31276.0	17.0
1774.54BI23.10.09	42931.0	12.0
1774.64.Skin.Puer	52002.0	2.0
1774.206.Skin.Puer	18392.0	2.0
1774.492.Skin.Puer	36856.0	8.0
1774.64Fecal24.10.09	59826.0	4.0
1774.355.Skin.Puer	23748.0	1.0
1774.526.Skin.Puer	75711.0	2.0
1774.35Fecal23.10.09	38603.0	2.0
1774.311.Skin.Puer	18634.0	3.0
1774.516.Skin.Puer	39216.0	1.0
1774.28Fecal22.10.09	55268.0	1.0
1774.345.Skin.Puer	34964.0	1.0
1774.240.Skin.Puer	83588.0	11.0
1774.10BI	37626.0	1.0
1774.230.Skin.Puer	60834.0	15.0
1774.45BI23.10.09	31190.0	10.0
1774.245.Skin.Puer	22125.0	5.0
1774.306.Skin.Puer	20685.0	15.0
1774.46BI23.10.09	33386.0	41.0
1774.488.Skin.Puer	53092.0	4.0
1774.523.Vagi.Puer	32772.0	1.0
1774.137.Inte.Puer	25955.0	1.0
1774.15BI22.10.09	46032.0	6.0
1774.241.Skin.Puer	60721.0	22.0
1774.36BI23.10.09	31315.0	19.0
1774.39BI23.10.09	71403.0	6.0
1774.7BI22.10.09	34184.0	13.0
1774.62BI24.10.09	31570.0	17.0
1774.60Nasal24.10.09	23240.0	1.0
1774.63.Skin.Puer	19221.0	21.0
1774.25BI22.10.09	20524.0	7.0
1774.223.Skin.Puer	41248.0	83.0
1774.14.Skin.Puer	28148.0	18.0
1774.405.Skin.Puer	6431.0	50.0
1774.399.Skin.Puer	30398.0	37.0
1774.44BI23.10.09	34691.0	3.0
1774.10Fecal22.10.09	52101.0	1.0
1774.157.Skin.Puer	49138.0	55.0
1774.503.Skin.Puer	49319.0	8.0
1774.493.Skin.Puer	49226.0	15.0
1774.383.Skin.Puer	40836.0	10.0
1774.284.Skin.Puer	47126.0	9.0
1774.520.Skin.Puer	21725.0	3.0
1774.2.Skin.Puer	16146.0	1.0
1774.40BI23.10.09	25451.0	3.0
1774.455.Skin.Puer	33678.0	11.0
1774.350.Skin.Puer	33465.0	11.0
1774.179.Skin.Puer	35711.0	32.0
1774.256.Skin.Puer	20385.0	47.0
1774.52BI23.10.09	39788.0	3.0
1774.377.Skin.Puer	39177.0	16.0
1774.301.Skin.Puer	63693.0	1.0
1774.31BI23.10.09	43191.0	2.0
1774.310.Skin.Puer	26538.0	3.0
1774.L582.Skin.Puer	82221.0	10.0
1774.9BI22.10.09	40472.0	5.0
1774.163.Skin.Puer	26770.0	19.0
1774.33BI23.10.09	22752.0	6.0
1774.36.Skin.Puer	3710.0	1.0
1774.29BI22.10.09	23593.0	11.0
1774.49BI23.10.09	20104.0	7.0
1774.37BI23.10.09	58537.0	12.0
1774.362.Skin.Puer	61107.0	1.0
1774.25.Skin.Puer	16882.0	1.0
1774.59BI24.10.09	34017.0	14.0
1774.142.Skin.Puer	50770.0	2.0
1774.472.Skin.Puer	34004.0	4.0
1774.514.Skin.Puer	48627.0	22.0
1774.465.Skin.Puer	7781.0	23.0
1774.20BI22.10.09	22505.0	7.0
1774.51Nasal23.10.09	21569.0	1.0
1774.47Nasal23.10.09	30943.0	2.0
1774.161.Oral.Puer	31832.0	1.0
1774.30BI23.10.09	47603.0	9.0
1774.14BI23.10.09	52402.0	18.0
1774.162.Skin.Puer	9724.0	1.0
1774.8BI22.10.09	48171.0	8.0
1774.32.Skin.Puer	24609.0	1.0
1774.433.Skin.Puer	43935.0	1.0
1774.L512.Skin.Puer	70747.0	1.0
1774.35Nasal23.10.09	28020.0	1.0
1774.268.Skin.Puer	37386.0	1.0
1774.135.Skin.Puer	25959.0	11.0
1774.42BI23.10.09	37240.0	12.0
1774.38BI23.10.09	28333.0	5.0
1774.239.Skin.Puer	31424.0	2.0
1774.9.Skin.Puer	54853.0	22.0
1774.66BI24.10.09	23434.0	3.0
1774.L575.Skin.Puer	68663.0	8.0
1774.24BI22.10.09	16629.0	2.0
1774.L557.Skin.Puer	41522.0	2.0
1774.283.Skin.Puer	23381.0	7.0
1774.35.Skin.Puer	28544.0	2.0
1774.20.Skin.Puer	20177.0	8.0
1774.10.Skin.Puer	27230.0	9.0
1774.55BI23.10.09	31975.0	12.0
1774.51Vaginal23.10.09	140828.0	1.0
1774.505.Skin.Puer	84969.0	8.0
1774.134.Skin.Puer	54249.0	1.0
1774.475.Skin.Puer	14159.0	11.0
1774.61BI24.10.09	35871.0	6.0
1774.479.Vagi.Puer	36107.0	1.0
1774.58Nasal24.10.09	23129.0	3.0
1774.19BI22.10.09	19677.0	1.0
1774.180.Skin.Puer	32343.0	37.0
1774.65.Skin.Puer	39731.0	24.0
1774.186.Skin.Puer	47658.0	14.0
1774.L533.Skin.Puer	30953.0	1.0
1774.136.Skin.Puer	25021.0	3.0
1774.158.Skin.Puer	64017.0	32.0
1774.250.Skin.Puer	14889.0	6.0
1774.343.Skin.Puer	26169.0	24.0
1774.13BI23.10.09	35019.0	14.0
1774.L586.Areo.Puer	28561.0	1.0
1774.21Nasal22.10.09	42259.0	1.0
1774.21BI22.10.09	29590.0	22.0
1774.L585.Skin.Puer	73220.0	5.0
1774.338.Skin.Puer	37142.0	40.0
1774.156.Skin.Puer	55.0	1.0
1774.58BI24.10.09	30756.0	4.0
1030.TVF.2010.Loc2.D10.Rep5	133374.0	1.0
1030.TVF.2010.Loc1.D0.Rep5	142198.0	38.0
1030.TVF.2010.Loc4.D10.Rep3	149906.0	3.0
1030.TVF.Control.Loc5.D0.Rep1	147739.0	1.0
1030.TVF.2010.Loc3.D0.Rep4	167414.0	13.0
1030.TVF.2004.Loc3.D10.Rep2	144309.0	6.0
1030.TVF.2004.Loc5.D0.Rep3	123684.0	10.0
1030.TVF.2010.Loc2.D10.Rep1	248672.0	6.0
1030.TVF.2010.Loc3.D0.Rep2	145215.0	6.0
1030.TVF.2010.Loc2.D0.Rep3	142411.0	1.0
1030.TVF.2010.Loc5.D0.Rep2	156992.0	2.0
1030.TVF.2010.Loc5.D10.Rep1	100667.0	1.0
1030.TVF.2004.Loc3.D0.Rep1	98672.0	5.0
1030.TVF.2010.Loc4.D0.Rep3	188093.0	26.0
1030.TVF.2004.Loc5.D0.Rep5	119482.0	11.0
1030.TVF.2010.Loc1.D0.Rep1	141535.0	1.0
1030.TVF.2010.Loc4.D10.Rep2	102829.0	2.0
1030.TVF.2004.Loc1.D0.Rep4	108358.0	4.0
1030.TVF.2004.Loc5.D0.Rep4	124059.0	88.0
1030.TVF.2010.Loc4.D0.Rep4	164327.0	244.0
1030.TVF.2010.Loc4.D0.Rep5	177197.0	16.0
1030.TVF.2010.Loc2.D0.Rep4	280553.0	16.0
1030.TVF.2010.Loc5.D0.Rep5	138288.0	221.0
1030.TVF.2010.Loc4.D10.Rep1	95646.0	6.0
1030.TVF.2010.Loc1.D0.Rep4	162782.0	1.0
1030.TVF.2004.Loc2.D0.Rep1	110504.0	2.0
1030.TVF.Control.Loc2.D0.Rep5	168499.0	1.0
1030.TVF.2010.Loc2.D0.Rep5	118603.0	4.0
1030.TVF.2010.Loc5.D0.Rep1	210705.0	25.0
1030.TVF.2010.Loc4.D0.Rep2	164651.0	44.0
1030.TVF.2004.Loc5.D10.Rep5	129739.0	1.0
1030.TVF.2010.Loc3.D10.Rep4	126918.0	2.0
1030.TVF.2004.Loc3.D10.Rep4	80384.0	3.0
1030.TVF.2010.Loc5.D10.Rep5	138279.0	2.0
1030.TVF.2004.Loc4.D0.Rep5	157747.0	12.0
1030.TVF.Control.Loc5.D0.Rep5	186171.0	1.0
1030.TVF.Control.Loc4.D0.Rep5	129598.0	12.0
1030.TVF.2004.Loc4.D10.Rep4	125012.0	1.0
1030.TVF.2010.Loc5.D0.Rep3	177923.0	385.0
1030.TVF.Control.Loc4.D0.Rep3	194637.0	3.0
1030.TVF.2004.Loc2.D0.Rep4	179081.0	3.0
1030.TVF.2004.Loc1.D10.Rep1	162077.0	1.0
1030.TVF.2004.Loc1.D10.Rep2	118992.0	1.0
1030.TVF.2010.Loc3.D10.Rep5	130419.0	1.0
1030.TVF.2004.Loc2.D0.Rep5	127514.0	6.0
1030.TVF.Control.Loc5.D0.Rep4	166824.0	2.0
1030.TVF.2004.Loc1.D0.Rep3	137641.0	1.0
1030.TVF.2004.Loc2.D0.Rep2	170782.0	8.0
1030.TVF.2010.Loc5.D0.Rep4	137840.0	35.0
1030.TVF.Control.Loc3.D0.Rep3	154370.0	2.0
1030.TVF.2004.Loc5.D10.Rep3	128345.0	3.0
1030.TVF.Control.Loc4.D0.Rep2	174156.0	6.0
1030.TVF.Control.Loc5.D0.Rep3	157729.0	1.0
1030.TVF.2010.Loc3.D0.Rep5	162862.0	228.0
1030.TVF.2004.Loc3.D0.Rep4	106602.0	2.0
1030.TVF.2004.Loc3.D10.Rep5	120182.0	1.0
1030.TVF.2010.Loc4.D10.Rep5	195505.0	8.0
1030.TVF.2004.Loc1.D0.Rep1	127425.0	1.0
1030.TVF.2004.Loc2.D0.Rep3	146429.0	5.0
1030.TVF.2010.Loc5.D10.Rep3	125150.0	2.0
1030.TVF.2010.Loc3.D0.Rep1	111229.0	6.0
1030.TVF.2010.Loc2.D0.Rep2	118254.0	1.0
1030.TVF.2010.Loc5.D10.Rep4	134532.0	2.0
1030.TVF.2010.Loc1.D10.Rep4	186129.0	1.0
1030.TVF.2010.Loc4.D0.Rep1	154273.0	302.0
1030.TVF.Control.Loc4.D0.Rep4	190266.0	2.0
1030.TVF.2010.Loc2.D10.Rep3	137059.0	1.0
1030.TVF.2004.Loc3.D0.Rep2	181504.0	14.0
1030.TVF.Control.Loc4.D10.Rep3	119008.0	1.0
1030.TVF.2004.Loc5.D0.Rep2	159529.0	2.0
1030.TVF.Control.Loc2.D0.Rep3	170788.0	2.0
1030.TVF.2004.Loc3.D0.Rep5	119992.0	1.0
1030.TVF.2010.Loc5.D10.Rep2	147828.0	3.0
1030.TVF.Control.Loc2.D0.Rep1	146764.0	1.0
1030.TVF.2010.Loc3.D0.Rep3	131936.0	11.0
1030.TVF.Control.Loc2.D0.Rep2	176655.0	2.0
1622.DP.101.102A.1	56435.0	1.0
1622.UPSub.27.28	39145.0	1.0
1622.UPMain.101.102B	60768.0	7.0
1622.DP.51.52A.1	67698.0	6.0
1622.PP.15.16B	74689.0	6.0
1622.DP.51.52B	38133.0	3.0
1622.DP.41.42A.1	66229.0	1.0
1622.DP.70.71A.1	65755.0	2.0
1578.A2.low0.36to0.40	36654.0	1.0
1578.A1.high.06to0.1	69913.0	6.0
1578.A2.high0.26to0.30	48371.0	1.0
1578.O3.high0.26to0.30	62325.0	2.0
1578.O3.high0.36to0.40	55094.0	2.0
1578.Os.high.16to0.2	53924.0	2.0
1713.McG.L1M02	11593.0	1.0
1713.McG.L2N1020	9812.0	1.0
1627.ZCCK3	68413.0	1.0
1627.KZC1	65414.0	1.0
1627.DZC	45903.0	2.0
1627.KZC2	78056.0	4.0
1627.SMXC	60620.0	35.0
1627.LC	72498.0	2.0
1240.1512BCDNA	657762.0	72.0
1240.1210TCDNA	590036.0	16.0
1240.0710T	134166.0	32.0
1240.2408B	283577.0	5.0
1240.2209B	126463.0	5.0
1240.2601TCDNA	98305.0	5.0
1240.0505B	27608.0	1.0
1240.2105B	33233.0	5.0
1240.2206B	87453.0	6.0
1240.2601B	102411.0	18.0
1240.0709BCDNA	52840.0	2.0
1240.1204BCDNA	553047.0	6.0
1240.0707B	221082.0	19.0
1240.1101BCDNA	67675.0	3.0
1240.1204TCDNA	213715.0	9.0
1240.2004TCDNA	367105.0	1.0
1240.2809B	65485.0	2.0
1240.0803B	170990.0	12.0
1240.0704B	27035.0	12.0
1240.2906BCDNA	52726.0	1.0
1240.0912BCDNA	131202.0	48.0
1240.0707TCDNA	57053.0	1.0
1240.2610TCDNA	63623.0	17.0
1240.1307B	63177.0	9.0
1240.1305BCDNA	51895.0	12.0
1240.0505BCDNA	45561.0	4.0
1240.1503BCDNA	58659.0	1.0
1240.0401BCDNA	77245.0	8.0
1240.0709T	57507.0	2.0
1240.0912B	111471.0	47.0
1240.1208TCDNA	51045.0	1.0
1240.2906T	77100.0	7.0
1240.0911BCDNA	137292.0	6.0
1240.1208B	85960.0	19.0
1240.2809T	109095.0	4.0
1240.0505TCDNA	253011.0	3.0
1240.0103TCDNA	149420.0	2.0
1240.2004BCDNA	47176.0	1.0
1240.2408BCDNA	65316.0	3.0
1240.1307T	53822.0	1.0
1240.1910B	66723.0	85.0
1240.1910BCDNA	44029.0	33.0
1240.0802TCDNA	94707.0	3.0
1240.2604BCDNA	64816.0	1.0
1240.0102BCDNA	350517.0	27.0
1240.1210B	68837.0	8.0
1240.0710B	87646.0	3.0
1240.0912TCDNA	389316.0	141.0
1240.2610BCDNA	53792.0	15.0
1240.0401TCDNA	65509.0	2.0
1240.2906B	144781.0	2.0
1240.0109BCDNA	126553.0	3.0
1240.0109TCDNA	359430.0	15.0
1240.2209BCDNA	160291.0	19.0
1240.2601BCDNA	44582.0	2.0
1240.1101B	544217.0	9.0
1240.2704B	22762.0	10.0
1240.1503T	125185.0	3.0
1240.0102B	57420.0	3.0
1240.1208T	53296.0	2.0
1240.2112BCDNA	118275.0	7.0
1240.0802BCDNA	50616.0	1.0
1240.0401B	213122.0	26.0
1240.2206t	110582.0	5.0
1240.1512B	82266.0	27.0
1240.2209T	82235.0	3.0
1240.2112B	116581.0	5.0
1240.1204B	91438.0	1.0
1240.0802B	83154.0	9.0
1240.0806BCDNA	49968.0	1.0
1240.0206TCDNA	54087.0	6.0
1240.0206B	33114.0	1.0
1240.2112TCDNA	122824.0	3.0
1240.1210T	81792.0	16.0
1240.0709B	108730.0	7.0
1240.0911T	179377.0	1.0
1240.2906TCDNA	439109.0	6.0
1240.0707T	65536.0	2.0
1240.1512TCDNA	61735.0	4.0
1240.1210BCDNA	71972.0	5.0
1240.1409T	47194.0	1.0
1240.1801B	118049.0	11.0
1240.2604T	35882.0	1.0
1240.0103B	55581.0	11.0
1240.0109B	93122.0	12.0
1240.1910T	625540.0	56.0
1240.2105BCDNA	45724.0	9.0
1240.1801BCDNA	66249.0	9.0
1240.1409B	297917.0	28.0
1240.1307TCDNA	72494.0	3.0
1240.2209TCDNA	47376.0	1.0
1240.1708TCDNA	37673.0	1.0
1240.1305TCDNA	30854.0	5.0
1240.0704BCDNA	129633.0	9.0
1240.1305B	34808.0	2.0
1240.0103BCDNA	142741.0	6.0
1240.2809TCDNA	136013.0	5.0
1240.1208BCDNA	64789.0	8.0
1240.0710BCDNA	168928.0	9.0
1240.2809BCDNA	80729.0	13.0
1240.2610B	229277.0	51.0
1240.0102TCDNA	125766.0	19.0
1240.0109T	129859.0	1.0
1240.0803BCDNA	211995.0	6.0
1240.1910TCDNA	70553.0	1.0
1240.0911TCDNA	69276.0	7.0
1240.1409BCDNA	92238.0	8.0
1240.0704TCDNA	36892.0	2.0
1240.1101TCDNA	84760.0	6.0
1240.0806TCDNA	44889.0	1.0
1240.0710TCDNA	51313.0	8.0
1031.HJDF3	159224.0	1.0
1031.HJRA2	155764.0	4.0
1031.HJRA3	141693.0	1.0
1031.CHRA2	109208.0	1.0
1031.CHDF1	90561.0	3.0
1031.CHDF2	128336.0	8.0
1711.KFM1.2	26285.0	1.0
1711.KFM3.2	24952.0	14.0
1711.KAJ1.2	14390.0	9.0
1711.KFM4.1	18752.0	14.0
1711.KAM6.1	32376.0	1.0
1711.KAJ4.3	16404.0	4.0
1711.KAM9.1	31683.0	8.0
1711.KFM7.3	29462.0	2.0
1711.KFM8.3	25209.0	1.0
1711.KFM2.2	26252.0	12.0
1711.KAM3.1	13661.0	2.0
1711.KFM2.1	21747.0	15.0
1711.KAJ6.1	14510.0	2.0
1711.KFM6.1	22624.0	9.0
1711.KAJ8.2	13110.0	4.0
1711.KAJ6.3	13291.0	1.0
1711.KAJ9.1	14647.0	10.0
1711.KAJ8.1	13488.0	2.0
1711.KFM9.3	18017.0	3.0
1711.KAJ9.2	14545.0	2.0
1711.KFM4.3	19519.0	24.0
1711.KAJ8.3	13474.0	4.0
1711.KFM3.3	24088.0	26.0
1711.KFM1.3	24499.0	1.0
1711.KAJ2.3	10595.0	3.0
1711.KFM2.3	24292.0	27.0
1711.KAM6.3	32787.0	1.0
1711.KAJ3.1	11319.0	2.0
1711.KFM7.2	23139.0	3.0
1711.KFM8.1	25881.0	2.0
1711.KAM9.3	26477.0	3.0
1711.KAJ9.3	17153.0	2.0
1711.KFM1.1	48437.0	15.0
1711.KFM5.2	16364.0	28.0
1711.KFM6.3	25331.0	13.0
1711.KAM6.2	27130.0	7.0
1711.KFM6.2	23038.0	15.0
1711.KAJ2.1	14224.0	5.0
1734.BD.NBS1051	28485.0	5.0
1734.BD.NBS1054	88306.0	1.0
1734.LD.DTS1224	96216.0	5.0
1734.LD.Stulil2	66322.0	2.0
1734.LD.NBS1070E	65307.0	1.0
1734.LD.NBS1055E	57098.0	2.0
1734.LD.NBS1074E	79799.0	240.0
1734.BD.ERD509	102459.0	6.0
1734.LD.DTS1220	100371.0	5.0
1734.LD.QCAZ.M50991	64071.0	109.0
1734.LD.Ptepar1	68188.0	1.0
1734.BD.ERD502	114926.0	1.0
1734.BD.ERD506	144207.0	11.0
1734.LD.NBS1053E	85074.0	42.0
1734.BD.NBS1086	135279.0	2.0
1734.LD.Glosor1	82881.0	38.0
1734.BD.ERD507	75371.0	26.0
1734.LD.QCAZ.M51303	101929.0	16.0
1734.LD.Sl1	139724.0	1.0
1734.LD.NBS1054E	90661.0	6.0
1734.LD.NBS1086E	51452.0	14.0
1734.LD.Ptepar2	90516.0	1.0
1734.LD.NBS1060E	67152.0	23.0
1033.Antarctic.soil.4C.6.4	162998.0	132.0
1033.Antarctic.soil.5C.1.7	205630.0	452.0
1033.Antarctic.soil.3B.7.2	179045.0	50.0
1033.Antarctic.soil.10A.2.1	500198.0	717.0
1033.Antarctic.soil.9A.2.0	143956.0	603.0
1235.sp1587	264918.0	2.0
1235.sp1938	248265.0	3.0
1235.sp1576	203017.0	86.0
1235.sp1395	306014.0	269.0
1235.sp1006	245188.0	2.0
1235.sp1348	265593.0	6.0
1235.sp1649	225294.0	1.0
1235.sp1405	237844.0	9.0
1235.sp1033	145548.0	8.0
1235.sp0752	147296.0	6.0
1235.sp0381	249331.0	1.0
1235.sp1636	290017.0	58.0
1235.sp1520	289413.0	155.0
1235.sp1379	267589.0	42.0
1235.sp1271	171271.0	7.0
1235.sp1288	249906.0	457.0
1235.sp0721	222145.0	17.0
1235.sp1532	297734.0	382.0
1235.sp1298	273365.0	20.0
1235.sp1404	235757.0	88.0
1235.sp1535	413606.0	120.0
1235.sp1615	177816.0	8.0
1235.sp0738	223463.0	2.0
1235.sp0757	237868.0	3.0
1235.sp1584	211520.0	44.0
1235.sp0314	185302.0	2.0
1235.sp1540	285022.0	23.0
1235.sp1089	197173.0	18.0
1235.sp0345	237440.0	3.0
1235.sp0753	250508.0	146.0
1235.sp1304	405232.0	20.0
1235.sp1548	209652.0	4.0
1235.sp1307	274840.0	370.0
1235.sp0705	358182.0	33.0
1235.sp1386	210160.0	29.0
1235.sp1000	157718.0	11.0
1235.sp1399	199506.0	935.0
1235.sp1160	165311.0	6.0
1235.sp1933	220803.0	5.0
1235.sp1377	276938.0	642.0
1235.sp1165	251403.0	2.0
1235.sp1637	175992.0	89.0
1235.sp1308	299920.0	31.0
1235.sp1929	281926.0	7.0
1235.sp1942	294989.0	116.0
1235.sp1568	201632.0	4.0
1235.sp1608	245398.0	5.0
1235.sp1038	140052.0	8.0
1235.sp1525	226801.0	357.0
1235.sp1639	223776.0	46.0
1235.sp1617	218567.0	17.0
1235.sp1410	261629.0	6.0
1235.sp1552	297180.0	14.0
1235.sp1613	281532.0	10.0
1235.sp1529	330690.0	234.0
1235.sp1553	253161.0	28.0
1235.sp1157	211222.0	1.0
1235.sp1533	247590.0	4.0
1235.sp1380	304021.0	2.0
1235.sp1389	272426.0	2.0
1235.sp0352	348914.0	3.0
1235.sp1573	328297.0	13.0
1235.sp1287	207272.0	116.0
1235.sp1627	236620.0	7.0
1235.sp1403	228746.0	32.0
1235.sp1282	180097.0	1.0
1235.sp1941	235003.0	14.0
1235.sp1144	246935.0	3.0
1235.sp1338	235797.0	23.0
1235.sp0759	243884.0	5.0
1235.sp1027	207255.0	1.0
1235.sp1300	241559.0	78.0
1235.sp0767	279784.0	15.0
1235.sp1560	240375.0	15.0
1235.sp1004	187170.0	1.0
1235.sp0754	205524.0	110.0
1235.sp1277	152871.0	1.0
1235.sp1543	212366.0	260.0
1235.sp0729	315515.0	17.0
1235.sp1281	345775.0	3.0
1235.sp1541	289134.0	35.0
1235.sp1400	219200.0	1.0
1235.sp0743	108114.0	26.0
1235.sp0740	294674.0	275.0
1235.sp1545	259476.0	1.0
1235.sp1635	206437.0	35.0
1235.sp0714	396781.0	16.0
1235.sp1312	266196.0	11.0
1235.sp1039	203642.0	1.0
1235.sp1647	271903.0	14.0
1235.sp1294	255639.0	20.0
1235.sp0195	303483.0	7.0
1235.sp1274	189792.0	6.0
1235.sp0747	294072.0	1624.0
1235.sp1145	243902.0	68.0
1235.sp0724	397069.0	24.0
1235.sp1935	243851.0	45.0
1235.sp1031	108316.0	7.0
