	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	temp
10180.A11I	78071.0	4434	283.0	4	33.0	10	21.0
10180.A11III	67235.0	4340	111.0	4	27.0	10	21.0
10180.A12I	61613.0	3758	48.0	4	109.0	8	23.0
10180.A12III	98526.0	4923	286.0	4	91.0	11	23.0
10180.A13I	349224.0	5822	759.0	7	563.0	15	24.0
10180.A13III	14.0	14	1.0	1	0.0	0	24.0
10180.A14II	176.0	19	4.0	2	0.0	0	23.0
10180.A14V	395800.0	6654	560.0	6	447.0	14	23.0
10180.A15I	536264.0	6277	4914.0	7	352.0	6	20.0
10180.A15II	528980.0	7924	1038.0	7	421.0	12	20.0
10180.A16I	7.0	6	2.0	1	0.0	0	24.0
10180.A17II	38717.0	3196	30.0	2	15.0	4	21.0
10180.A17III	70085.0	3269	98.0	2	3.0	3	21.0
10180.A18I	73891.0	2840	9.0	2	13.0	5	23.0
10180.A18III	124758.0	4444	8.0	5	27.0	5	23.0
10180.A1III	38122.0	3344	34.0	3	25.0	7	32.0
10180.A2I	80362.0	4940	45.0	3	61.0	12	29.5
10180.A2III	44123.0	3386	43.0	4	24.0	5	29.5
10180.A3III	42056.0	3559	17.0	2	42.0	5	26.5
10180.A3V	114640.0	5470	50.0	2	84.0	9	26.5
10180.A4II	34631.0	3422	112.0	4	48.0	6	23.0
10180.A4V	72753.0	4482	71.0	4	40.0	6	23.0
10180.A5II	79762.0	4082	164.0	4	27.0	8	26.0
10180.A5III	80544.0	5012	63.0	3	44.0	8	26.0
10180.A6I	121405.0	4069	101.0	3	83.0	8	26.0
10180.A6II	317408.0	5297	378.0	6	456.0	10	26.0
10180.A7I	97885.0	4670	173.0	4	74.0	11	21.0
10180.A7II	118240.0	5110	198.0	4	160.0	15	21.0
10180.A8I	54378.0	3993	72.0	4	61.0	12	20.0
10180.A8II	224342.0	6660	90.0	5	101.0	20	20.0
10180.A9I	210701.0	4976	257.0	6	64.0	10	20.0
10180.B3I	70016.0	4382	523.0	3	54.0	14	20.0
10180.B3II	23812.0	197	557.0	7	1.0	1	20.0
10180.B4I	77955.0	5643	153.0	5	41.0	8	21.6
10180.B4III	94673.0	3006	6.0	1	194.0	4	21.6
10180.B5I	57652.0	4507	140.0	3	23.0	5	23.0
10180.B5III	82558.0	5218	112.0	4	67.0	6	23.0
10180.B6I	87308.0	5350	294.0	4	44.0	6	24.0
10180.B6II	29.0	20	2.0	2	0.0	0	24.0
10180.D1I	53114.0	3744	29.0	4	89.0	8	18.0
10180.D1II	231613.0	6239	219.0	6	142.0	11	18.0
10180.D2II	4037.0	135	3.0	1	0.0	0	24.5
10180.D2III	72809.0	3944	125.0	6	38.0	4	24.5
10180.D4IV	85121.0	4859	75.0	4	116.0	10	27.0
10180.D4V	20953.0	1868	300.0	8	37.0	2	27.0
10180.D5I	71834.0	3058	109.0	3	131.0	6	26.0
10180.F10II	159064.0	5602	397.0	5	123.0	10	32.0
10180.F10III	7320.0	172	103.0	6	111.0	1	32.0
10180.F11II	144265.0	4302	372.0	5	62.0	8	34.0
10180.F11IV	77741.0	3385	247.0	2	38.0	6	34.0
10180.F12I	228315.0	5598	832.0	4	280.0	15	35.0
10180.F12II	291838.0	6577	784.0	7	296.0	9	35.0
10180.F1III	213787.0	5907	330.0	5	328.0	13	24.0
10180.F1IV	133743.0	5142	297.0	4	410.0	12	24.0
10180.F2I	152453.0	5752	131.0	4	238.0	13	26.0
10180.F2II	74720.0	4149	53.0	5	163.0	8	26.0
10180.F3I	103184.0	4812	375.0	4	88.0	14	29.0
10180.F3II	87720.0	3684	221.0	3	27.0	6	29.0
10180.F4I	136159.0	5032	1740.0	6	76.0	7	26.0
10180.F4III	164394.0	6171	437.0	4	99.0	12	26.0
10180.F5I	126521.0	4434	81.0	5	180.0	10	30.0
10180.F5III	134591.0	5471	133.0	4	68.0	9	30.0
10180.F6II	162223.0	5303	615.0	6	151.0	14	25.0
10180.F6III	6.0	5	2.0	1	0.0	0	25.0
10180.F7II	71016.0	3726	330.0	4	33.0	5	30.0
10180.F8IV	87767.0	3211	163.0	3	67.0	8	36.0
10180.F8V	81093.0	3465	199.0	5	55.0	9	36.0
10180.F9IV	131485.0	4876	311.0	8	85.0	7	27.0
10180.F9V	141634.0	5476	393.0	2	84.0	9	27.0
10180.G4II	216692.0	4823	707.0	5	134.0	10	32.0
10180.G4IV	183424.0	5995	528.0	4	174.0	13	32.0
10180.G5I	194234.0	5836	862.0	8	190.0	13	28.0
10180.G5V	158218.0	5970	268.0	4	136.0	16	28.0
10180.G6II	112791.0	4184	27.0	3	157.0	8	29.0
10180.G6V	109110.0	4857	33.0	4	86.0	15	29.0
10180.G8II	127905.0	5074	78.0	5	20.0	4	29.0
10180.I101	15065.0	158	1254.0	7	0.0	0	30.0
10180.I10II	110193.0	4721	1123.0	28	26.0	2	30.0
10180.I3III	254959.0	6245	1182.0	7	254.0	12	26.0
10180.I3IV	143221.0	5101	580.0	2	122.0	11	26.0
10180.I4I	227071.0	5287	1012.0	5	62.0	11	27.5
10180.I4IV	177261.0	5150	370.0	5	112.0	17	27.5
10180.I9I	76502.0	3705	120.0	4	43.0	5	27.5
10180.I9II	99260.0	4297	574.0	3	126.0	8	27.5
10180.J10II	98482.0	3106	1025.0	3	53.0	4	35.0
10180.J10IV	114835.0	5221	446.0	4	104.0	14	35.0
10180.J1I	119001.0	5508	221.0	5	61.0	6	28.0
10180.J1II	142082.0	4552	3017.0	15	136.0	7	28.0
10180.J2I	133918.0	6324	216.0	4	125.0	10	25.0
10180.J2II	97612.0	5797	53.0	5	172.0	8	25.0
10180.J3III	156334.0	4134	141.0	5	47.0	7	31.0
10180.J3IV	4516.0	1285	5.0	2	1.0	1	31.0
10180.J4I	68910.0	3514	65.0	2	33.0	5	28.0
10180.J4III	57013.0	3654	41.0	1	7.0	4	28.0
10180.J5I	232.0	164	3.0	3	0.0	0	28.0
10180.J5II	8886.0	1828	25.0	4	1.0	1	28.0
10180.J6III	6194.0	1496	5.0	2	7.0	3	27.0
10180.J6IV	131605.0	5509	159.0	5	201.0	15	27.0
10180.J7I	175819.0	3841	251.0	4	82.0	8	31.0
10180.J7IV	131063.0	3458	866.0	5	43.0	7	31.0
10180.J8II	69868.0	2121	85.0	6	1.0	1	32.0
10180.J8IV	134198.0	4455	381.0	6	45.0	6	32.0
10180.J9III	93007.0	4299	74.0	4	53.0	6	26.0
10180.J9IV	73160.0	3709	55.0	3	75.0	4	26.0
10180.K2III	25415.0	2801	89.0	3	19.0	9	26.0
10180.K2IV	23568.0	2132	17.0	6	13.0	7	26.0
